Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DLO,DLO,DLO,DLO,DLO,DLO
Date,,,,,,
2024-05-28,9.430000305175781,9.430000305175781,9.710000038146973,9.270000457763672,9.619999885559082,4180500
2024-05-29,9.220000267028809,9.220000267028809,9.3100004196167,9.109999656677246,9.3100004196167,2616500
2024-05-30,9.229999542236328,9.229999542236328,9.539999961853027,9.210000038146973,9.270000457763672,2075500
2024-05-31,9.149999618530273,9.149999618530273,9.350000381469727,9.0600004196167,9.270000457763672,2624700
2024-06-03,8.800000190734863,8.800000190734863,9.220000267028809,8.680000305175781,9.1899995803833,3096500
2024-06-04,8.619999885559082,8.619999885559082,8.850000381469727,8.529999732971191,8.75,2628600
2024-06-05,8.350000381469727,8.350000381469727,8.600000381469727,8.34000015258789,8.539999961853027,2855000
2024-06-06,8.329999923706055,8.329999923706055,8.395000457763672,8.239999771118164,8.350000381469727,2293500
2024-06-07,8.100000381469727,8.100000381469727,8.425000190734863,8.085000038146973,8.260000228881836,2243600
2024-06-10,7.949999809265137,7.949999809265137,8.0600004196167,7.675000190734863,8.0600004196167,4714700
2024-06-11,7.929999828338623,7.929999828338623,7.989999771118164,7.679999828338623,7.920000076293945,2311200
2024-06-12,7.679999828338623,7.679999828338623,8.140000343322754,7.644999980926514,8.079999923706055,2556300
2024-06-13,7.599999904632568,7.599999904632568,7.679999828338623,7.429999828338623,7.679999828338623,2826200
2024-06-14,7.550000190734863,7.550000190734863,7.599999904632568,7.401000022888184,7.570000171661377,1807600
2024-06-17,7.489999771118164,7.489999771118164,7.559999942779541,7.295000076293945,7.5,3156400
2024-06-18,7.480000019073486,7.480000019073486,7.550000190734863,7.460000038146973,7.480000019073486,1162200
2024-06-20,7.840000152587891,7.840000152587891,7.920000076293945,7.409999847412109,7.550000190734863,3564200
2024-06-21,7.480000019073486,7.480000019073486,8.0,7.420000076293945,7.800000190734863,4885900
2024-06-24,7.480000019073486,7.480000019073486,7.550000190734863,7.260000228881836,7.539999961853027,2576500
2024-06-25,7.650000095367432,7.650000095367432,7.695000171661377,7.440000057220459,7.440000057220459,3365300
2024-06-26,7.710000038146973,7.710000038146973,7.800000190734863,7.400000095367432,7.53000020980835,3973900
2024-06-27,8.180000305175781,8.180000305175781,8.210000038146973,7.650000095367432,7.730000019073486,2791900
2024-06-28,8.09000015258789,8.09000015258789,8.1850004196167,7.900000095367432,8.170000076293945,3048200
