Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AHT,AHT,AHT,AHT,AHT,AHT
Date,,,,,,
2024-05-28,12.399999618530273,12.399999618530273,13.0,12.399999618530273,12.800000190734863,38830
2024-05-29,12.0,12.0,12.300000190734863,11.699999809265137,12.199999809265137,68360
2024-05-30,11.800000190734863,11.800000190734863,12.300000190734863,11.5,12.300000190734863,28710
2024-05-31,11.699999809265137,11.699999809265137,12.0,11.5,11.699999809265137,29650
2024-06-03,11.699999809265137,11.699999809265137,11.800000190734863,11.5,11.800000190734863,18080
2024-06-04,11.5,11.5,11.899999618530273,11.5,11.800000190734863,38380
2024-06-05,11.699999809265137,11.699999809265137,12.5,11.5,11.800000190734863,22250
2024-06-06,11.5,11.5,11.800000190734863,11.399999618530273,11.5,39020
2024-06-07,10.899999618530273,10.899999618530273,11.600000381469727,10.699999809265137,11.300000190734863,56960
2024-06-10,11.100000381469727,11.100000381469727,11.300000190734863,10.5,10.899999618530273,25200
2024-06-11,10.899999618530273,10.899999618530273,11.399999618530273,10.5,11.0,35900
2024-06-12,10.399999618530273,10.399999618530273,11.399999618530273,10.300000190734863,11.399999618530273,70580
2024-06-13,10.100000381469727,10.100000381469727,11.0,9.699999809265137,10.5,117000
2024-06-14,10.0,10.0,10.199999809265137,9.699999809265137,10.199999809265137,64780
2024-06-17,9.5,9.5,10.0,7.699999809265137,10.0,69890
2024-06-18,9.0,9.0,9.800000190734863,9.0,9.699999809265137,36520
2024-06-20,8.600000381469727,8.600000381469727,9.399999618530273,8.600000381469727,9.399999618530273,41200
2024-06-21,8.199999809265137,8.199999809265137,8.600000381469727,8.199999809265137,8.600000381469727,56400
2024-06-24,9.0,9.0,9.300000190734863,8.300000190734863,8.300000190734863,27440
2024-06-25,9.699999809265137,9.699999809265137,10.5,9.199999809265137,9.300000190734863,75830
2024-06-26,8.800000190734863,8.800000190734863,9.600000381469727,8.699999809265137,9.199999809265137,41690
2024-06-27,8.699999809265137,8.699999809265137,9.300000190734863,8.5,8.699999809265137,23220
2024-06-28,9.699999809265137,9.699999809265137,9.699999809265137,8.899999618530273,8.899999618530273,55180
2024-07-01,9.300000190734863,9.300000190734863,9.899999618530273,9.0,9.800000190734863,27490
2024-07-02,8.800000190734863,8.800000190734863,9.699999809265137,8.800000190734863,9.5,46720
2024-07-03,9.699999809265137,9.699999809265137,9.699999809265137,9.199999809265137,9.399999618530273,24440
2024-07-05,10.0,10.0,10.600000381469727,9.300000190734863,9.399999618530273,53270
2024-07-08,10.100000381469727,10.100000381469727,10.399999618530273,9.800000190734863,10.300000190734863,42300
2024-07-09,10.0,10.0,10.199999809265137,9.600000381469727,10.0,30340
2024-07-10,10.199999809265137,10.199999809265137,10.699999809265137,10.0,10.199999809265137,34620
2024-07-11,10.699999809265137,10.699999809265137,10.699999809265137,10.300000190734863,10.300000190734863,33440
2024-07-12,10.699999809265137,10.699999809265137,10.699999809265137,10.5,10.600000381469727,31430
2024-07-15,10.300000190734863,10.300000190734863,10.699999809265137,10.300000190734863,10.699999809265137,28710
2024-07-16,10.699999809265137,10.699999809265137,11.0,10.5,10.5,66380
2024-07-17,10.699999809265137,10.699999809265137,10.899999618530273,10.300000190734863,10.600000381469727,38900
2024-07-18,10.399999618530273,10.399999618530273,11.300000190734863,10.100000381469727,10.800000190734863,53780
2024-07-19,9.699999809265137,9.699999809265137,10.699999809265137,9.699999809265137,10.199999809265137,60720
2024-07-22,10.5,10.5,10.699999809265137,10.100000381469727,10.300000190734863,53410
2024-07-23,10.5,10.5,10.699999809265137,10.199999809265137,10.600000381469727,26120
2024-07-24,10.100000381469727,10.100000381469727,10.600000381469727,9.800000190734863,10.399999618530273,52880
2024-07-25,10.0,10.0,10.399999618530273,9.899999618530273,10.199999809265137,22050
2024-07-26,10.199999809265137,10.199999809265137,10.300000190734863,9.899999618530273,10.100000381469727,23080
2024-07-29,9.399999618530273,9.399999618530273,10.300000190734863,9.399999618530273,10.300000190734863,35970
2024-07-30,9.600000381469727,9.600000381469727,9.699999809265137,9.300000190734863,9.600000381469727,29690
2024-07-31,10.399999618530273,10.399999618530273,10.399999618530273,9.600000381469727,10.300000190734863,40010
