,Forecast,Lower CI,Upper CI
2025-01-21,178.82888174496756,159.0602143540446,198.59754913589052
2025-01-22,178.25360401648078,158.06647322578027,198.4407348071813
2025-01-23,172.55668275820585,151.95958085908217,193.15378465732954
2025-01-24,171.14259651468876,150.1435224188074,192.14167061057012
2025-01-27,172.68542312370906,151.29192664758946,194.07891959982865
2025-01-28,173.66534443542096,151.8845674701982,195.44612140064373
2025-01-29,175.4178848806568,153.25659455117562,197.57917521013798
2025-01-30,176.41175954415178,153.52500637603367,199.29851271226988
2025-01-31,175.9349724663442,152.35738941884225,199.51255551384614
2025-02-03,177.58836138797935,153.34918014557115,201.82754263038754
2025-02-04,178.80113137817764,153.93878564375126,203.66347711260403
2025-02-05,176.54628848235018,151.07449978560098,202.01807717909938
2025-02-06,175.2169500353273,149.1489795137943,201.2849205568603
2025-02-07,174.92531238832862,148.27342554547576,201.57719923118148
2025-02-10,175.61550115815444,148.39236092937065,202.83864138693824
2025-02-11,178.05223493841618,150.2696614547279,205.83480842210446
2025-02-12,178.1858482605702,149.8549392279617,206.5167572931787
2025-02-13,173.6372419910773,144.76839923814182,202.50608474401278
2025-02-14,172.82119265486514,143.4242529179547,202.21813239177558
2025-02-17,173.78584362058646,143.87012535009535,203.70156189107757
2025-02-18,174.66620381489318,144.24055210550583,205.09185552428053
2025-02-19,177.07593625224132,146.14875817532752,208.00311432915512
2025-02-20,178.16945304402583,146.52942832597162,209.80947776208004
2025-02-21,177.4841394549155,145.15429615812073,209.81398275171026
2025-02-24,179.10032152125248,146.100804768344,212.09983827416096
2025-02-25,180.31212580479755,146.668897621229,213.95535398836608
2025-02-26,177.94546773888257,143.66968578387068,212.22124969389446
2025-02-27,176.47786089349216,141.58038488498633,211.375336901998
2025-02-28,175.98812883702507,140.47918308471466,211.49707458933548
2025-03-03,177.15282157781584,141.04284648667164,213.26279666896005
2025-03-04,179.69682369354123,142.99570835871629,216.39793902836618
2025-03-05,180.04419013817312,142.7613393934112,217.32704088293505
2025-03-06,175.01767699655286,137.16202228767781,212.87333170542792
2025-03-07,173.97750466382462,135.55758169404157,212.39742763360766
2025-03-10,174.89347635753734,135.9174517826023,213.86950093247236
2025-03-11,175.80857873272365,136.28427658784378,215.33288087760351
2025-03-12,178.4163274399279,138.35125023284183,218.48140464701396
2025-03-13,179.80379966683282,138.98296010093992,220.6246392327257
2025-03-14,179.01877668363602,137.46332843023362,220.57422493703842
2025-03-17,180.71475684665322,138.44328959386831,222.98622409943812
2025-03-18,181.94386402994186,138.98120241391857,224.90652564596516
2025-03-19,179.58044966069966,135.93658759620544,223.22431172519387
2025-03-20,177.98329505291625,133.6680825073229,222.2985075985096
2025-03-21,177.23820006014407,132.26097906255143,222.2154210577367
2025-03-24,178.3622859847845,132.73275044755198,223.99182152201703
2025-03-25,180.87784702809574,134.60524122225334,227.15045283393815
2025-03-26,180.79588271282157,133.88905634113314,227.70270908451
2025-03-27,175.6516565529814,128.11906376246307,223.18424934349972
2025-03-28,174.5328166744317,126.38258588338891,222.6830474654745
2025-03-31,175.71086408995308,126.95081657683232,224.47091160307383
2025-04-01,176.64086449265636,127.27853384847094,226.00319513684178
2025-04-02,178.8506970243836,128.8933440333335,228.8080500154337
